"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 03, 2019","156.28","154.13","157.30","154.11","14.18M","1.81%"
"Jan 04, 2019","159.15","156.71","159.15","156.71","14.56M","1.84%"
"Jan 08, 2019","158.26","158.75","158.94","156.55","17.04M","-0.56%"
"Jan 09, 2019","160.24","158.88","160.40","158.40","19.15M","1.25%"
"Jan 10, 2019","160.20","159.75","160.20","157.56","19.95M","-0.02%"
"Jan 11, 2019","161.00","160.20","161.13","159.80","17.61M","0.50%"
"Jan 14, 2019","160.48","159.70","160.75","159.20","12.59M","-0.32%"
"Jan 15, 2019","158.15","160.97","161.50","157.35","20.87M","-1.45%"
"Jan 16, 2019","156.90","158.50","158.75","155.80","20.87M","-0.79%"
"Jan 17, 2019","157.10","157.40","157.40","155.60","16.24M","0.13%"
"Jan 18, 2019","159.20","158.16","159.20","157.43","18.27M","1.34%"
"Jan 21, 2019","158.30","159.02","160.07","158.01","11.92M","-0.57%"
"Jan 22, 2019","158.50","157.86","158.50","156.57","18.84M","0.13%"
"Jan 23, 2019","159.90","158.24","159.90","158.02","14.57M","0.88%"
"Jan 24, 2019","160.90","159.78","162.78","158.86","35.66M","0.63%"
"Jan 25, 2019","162.82","161.61","162.82","160.18","19.77M","1.19%"
"Jan 28, 2019","160.56","162.40","163.58","159.82","23.90M","-1.39%"
"Jan 29, 2019","162.95","160.10","162.98","159.00","22.82M","1.49%"
"Jan 30, 2019","165.40","162.51","165.84","162.26","25.11M","1.50%"
"Jan 31, 2019","162.82","166.00","166.49","162.55","30.70M","-1.56%"
"Feb 01, 2019","163.33","162.49","164.37","161.75","23.09M","0.31%"
"Feb 04, 2019","163.20","163.49","165.00","162.81","11.46M","-0.08%"
"Feb 05, 2019","164.25","163.45","165.43","162.54","13.71M","0.64%"
"Feb 06, 2019","163.21","164.41","164.67","163.07","9.55M","-0.63%"
"Feb 07, 2019","160.39","162.89","163.44","159.10","23.54M","-1.73%"
